anchor,positive
Van Heusen Sport Men Navy Blue Tight Slim Fit Printed Casual Shirt,"Navy Blue printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Naari Women Blue Printed Straight Kurta,"Blue printed straight kurta, has a round neck, sleeveless, straight hem, and side slits"
W Women Teal Green & Golden Striped A-Line Layered Kurta,"Teal green and golden striped A-line layered kurta, has a shirt collar, three-quarter sleeves and flared hem"
SOJANYA Men Beige & Golden Checked Straight Kurta,"Beige and Golden checked straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
Saint G Women Nude-Coloured Solid Sandals,"A pair of nude-coloured open toe sandals, has regular styling, backstrap detailLeather upperLeather footbedTextured and patterned outsole, has a wedge heelWarranty: 1 monthWarranty provided by brand/manufacturer"
Shoetopia Women White Solid One Toe Flats,"A pair of white open-toed flats, has regular styling, no back strap detailSynthetic upperCushioned footbedTextured and patterned outsole"
Oxolloxo Women Blue Striped Top,"Blue and red striped woven regular top with minute embroidered detail, has a tie-up neck, and short sleeves"
HIROLAS Men Black & Grey Colourblocked Thong Flip-Flops,A pair of black & grey colourblocked flip flopsSynthetic upper materialCushioned footbedPatterned synthetic outsoleWarranty: 1 monthWarranty provided by brand/manufacturer
W Women Fuchsia & Peach-Coloured Printed Straight Kurta,"Fuchsia and Peach-coloured printed straight kurta with sequinned detail, has a notched round neck, three-quarter sleeves, straight hem, and side slits"
Peter England Men Purple Tight Slim Fit Printed Formal Shirt,"Purple printed formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
W Women Charcoal Grey & Silver Woven Design Straight Kurta,"Grey and Silver woven design straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits, button placket"
W Women Navy Blue Printed A-Line Kurta,"Navy printed A-line kurta, has a round neck, three-quarter sleeves, and flared hem"
Z-ZOOM Unisex Brown Cateye Sunglasses 55041,Lens colour: BrownLens feature: Regular LensFrame material: MetalFrame style: Full RimBest suited for: Oval face shapeComes in a Z-ZOOM coverWarranty: 2 yearsWarranty provided by brand/manufacturer
Z-ZOOM Unisex Rectangle Sunglasses 55092,Lens colour: BrownLens feature: Polarised LensFrame material: MetalFrame style: Full RimBest suited for: Oval face shapeComes in a Z-ZOOM coverWarranty: 2 yearsWarranty provided by brand/manufacturer
W Women Lavender Hem Design Wide Leg Palazzos,"A pair of lavender hem design woven wide leg fit palazzos, opaque, and inner drawstring closure, partially elasticated waistband"
Van Heusen Woman Yellow & Black Striped Top,"Yellow and Black striped woven regular  top, has a round neck, and long sleeves"
Cortina Orange Set of 2 Door Curtains,Set content: 2 Door curtainsColour: OrangePattern: Floral DoorLight blocking: Room DarkeningFitting: EyeletLining: No
The Pink Moon Plus Size Women Black Lace A-Line Dress,"Black lace woven A-line dress, has a round neck, three-quarter sleeves, button closure, and flared hem"
Parx Men Yellow & Blue Slim Fit Checked Casual Shirt,"Yellow and Blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
W Women Peach-Coloured & Golden Striped Flared Palazzos,"A pair of peach-coloured and golden striped woven flared fit palazzos, and has a drawstring closure"
Global Desi Women Blue Solid Shirt Style Top,"Blue solid woven shirt style  top, has a round neck, three-quarter sleeves, and button closure"
AccessHer Gold-Toned & White Stone Nose Ring With Chain,Gold-toned and blue artificial stone-studded clip-on nose ring with chain that has a hook closurePlating: Brass
Jompers Men Maroon Woven Design Straight Kurta,"Maroon woven design straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
W Women Off-White & Charcoal Grey Printed Straight Kurta,"Off-White and charcoal Grey printed straight kurta with sequins, has a mandarin collar, three-quarter sleeves, straight hem, and side slits"
W Women Green Solid Cropped Trousers,"Green solid mid-rise cropped trousers, has a partially elasticated waistband, concealed zip closure"
Oxolloxo Women Multi-Coloured Printed Tunic,"Multicoloured printed Tunic, has a V-neck, and short sleeves"
Parx Men Navy Blue Self Design Polo Collar T-shirt,"Navy Blue self-design T-shirt, has a polo collar, short sleeves, and 1 pocket"
W Women Grey & Navy Blue Printed Straight Kurta,"Grey and navy blue printed straight kurta with threadwork and panelled detail, has a round neck, sleeveless, straight hem, and side slits"
W Women Blue Hem Design Flared Palazzos,"A pair of blue hem design woven flared palazzos, has partially elasticated waistband with drawstring closure"
W Women Blue Solid Ankle Length Leggings,"A pair of blue solid mid-rise ankle length leggings, has a slip-on closure"
Parx Men Blue & White Striped Polo Collar T-shirt,"Blue and White striped T-shirt, has a polo collar, short sleeves, and 1 pocket"
EthnoVogue Sea Green & Gold-Toned Embroidered Made to Measure Lehenga & Blouse with Dupatta,"PRODUCT DETAILS Sea Green & gold-toned embroidered, printed made to measure lehenga choli with dupattaGold-toned embroidered made to measure blouse, has a stylised round-neck, short sleeves, padded cups, zip closure on the sideSea green woven design made to measure lehenga, flared hem, drawstring and concealed zip closure and draw string with dazzles on the side, net underskirtGold-toned dupatta What is Made to Measure?Customised Lehenga Choli according to your Bust and Length. So please refer to the Size Chart to pick your perfect size.How to measure bust?Measure under your arms and around your chest to find your bust size in inchesHow to measure Lehenga length?Measure from waist till barefoot to find lehenga length in inches"
Mufti Men White & Green Regular Fit Printed Casual Shirt,"White and Green printed casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Cortina Green & White Set of 2 Printed Long Door Curtains,Set content: 2 Long Door curtainsColour: Green and WhitePattern: Geometric Long DoorLight blocking: RegularFitting: EyeletLining: No
U.S. Polo Assn. Denim Co. Men Cream-Coloured & Black Striped Polo Collar T-shirt,"Cream-coloured and Black striped T-shirt, has a polo collar, and short sleeves"
W Women Off-White & Golden Printed Maxi Flared Skirt,"Off-white and golden printed woven maxi flared skirt, has a partially elasticated waistband, hook-and-bar and concealed zip closure on the side, flared hem, an attached lining"
Madame Women Black Solid Sweater,"Black solid sweater with embelished detail, has a round neck, long sleeves, and ribbed hem"
Global Desi Women Blue Block Print A-Line Top,"Blue printed woven A-line  top, has a round neck, and three-quarter sleeves"
AURELIA Women Blue & Silver Printed Tunic with Palazzos & Ethnic Jacket,"This clothing set consists of tunic, palazzos and layerBlue and silver striped tunic, has a round neck, sleeveless, concealed zip closureBlue and silver striped palazzos, has a slip-on closureBlue printed layer, has a tie-up closure"
AccessHer Red Circular Hoop Earrings,"Red Circular Earrings, brass-plated, and has artificial beads Secured with a lever back"
Ahalyaa Women Black & Pink Printed A-Line Kurta,"Black, Pink and blue printed A-line kurta, has a round neck, sleeveless, flared hem"
W Women Navy Blue Striped Straight Kurta,"Navy Blue striped straight kurta with thread work and sequinned detail, has a round neck, sleeveless, straight hem and side slits"
Van Heusen Woman Women Grey Solid Pumps,"A pair of grey pointed toe pumps, has regular styling, closed back detailSynthetic upperCushioned footbedTextured and patterned outsole, has a slim heel"
W Women Golden Solid Dhoti Pants,"Golden solid mid-rise woven dhoti pants, has a waistband with hook-and-bar closure, zip fly"
Jompers Men Yellow Solid Straight Kurta,"Yellow solid straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
W Women Green Printed Straight Kurta,"Green printed straight kurta, has a round neck, three-quarter sleeves, flared hem, and side slits"
Van Heusen Woman Olive Green Solid Heels,"A pair of olive green solid open toe heels, has regular styling, backstrap detailSynthetic upperCushioned footbedTextured and patterned outsole, has a block heel"
W Women Mustard Yellow & Golden Printed A-Line Dress,"Mustard yellow and Golden printed woven A-line dress with adjustable tie-up closure, has a mandarin collar with button closure, three-quarter sleeves, and flared hem"
W Women Lavender & Golden Asymmetric Hemline Printed Panelled A-Line Kurta,"Lavender, golden and maroon printed panelled A-line kurta, has a round neck, hook closure, three-quarter sleeves, asymmetric hem, and side slits"
Cortina Purple Set of 2 Printed Window Curtains,Set content: 2 window curtainsColour: PurplePattern: Floral doorLight blocking: RegularFitting: EyeletLining: No
NIZA Women Black Regular Fit Self Design Trousers,"Black self-design mid-rise trousers with printed detail, has hook and bar closure, zip fly"
MISH Women White & Black Striped Top,"White and Black striped woven regular  top, has a round neck, short sleeves, and button closure"
Vozaf Women White & Orange Printed Stole,"White and Orange printed stole, has tasselled border"
Oxolloxo Women White Solid A-Line Top,"White solid woven A-line  top, has a tie-up neck, and three-quarter sleeves"
W Women Rust Orange & Navy Blue Printed Straight Kurta,"Rust orange, Navy Blue and golden printed straight kurta, has a key-hole neck, three-quarter sleeves, straight hem, and side slits"
Marks & Spencer Women White Floral Print Cinched Waist Top,"White and Orange printed woven cinched waist  top, has a V-neck, and long sleeves"
W Women Pink Printed Top with Dhoti Pants & Ethnic Jacket,"This clothing set consists of top, dhoti pants and ethnic jacketDusty pink printed top with sequins, has a round neck, sleeveless, and button-and-loop closureDusty pink solid dhoti pants with layered detail, has hook-and-bar with zip closureDusty pink net sequinned open front longline ethnic jacket"
Van Heusen Men Blue Custom Boxy Self Design Formal Shirt,"Blue self-design formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
W Women Pink & Navy Printed Maxi Dress,"Pink and Navy Blue printed woven maxi dress, has a keyhole neck, long sleeves, and flared hem"
EthnoVogue Beige & Yellow Printed Made to Measure Lehenga & Blouse with Dupatta,"Beige lehenga choli with dupatta, has sequinnedBeige blouse, has a boat neck, short sleevesYellow made to measure lehenga, flared hemWhat is Made to Measure?Customised Lehenga Choli according to your Bust and Length. So please refer to the Size Chart to pick your perfect size.How to measure bust?Measure under your arms and around your chest to find your bust size in inchesHow to measure Lehenga length?Measure from waist till barefoot to find lehenga length in inches"
W Women Blue & White Printed A-Line Kurta,"Blue and White printed A-line kurta with embroidered and beaded detail, has a round neck, three-quarter sleeves, and flared hem"
W Women Navy Blue & Golden Yoke Design Straight Kurta,"Navy Blue and golden yoke design straight kurta with sequinned deatil, has a keyhole neck, three-quarter sleeves, straight hem and side slits"
Global Desi Women Pink Printed A-Line Kurta,"Pink printed A-line kurta, has a keyhole neck, three-quarter sleeves, straight hem, and side slits"
Cortina Maroon & Off-White Set of 2 Printed Window Curtains,Set content: 2 Window curtainsColour: Maroon and Off-WhitePattern: Floral WindowLight blocking: RegularFitting: EyeletLining: No
INVICTUS Men Coffee Brown Solid Formal Derbys,"A pair of coffee brown round-toed solid formal Derbys with perforated detail PU upper, has central lace-upsCushioned footbedTextured Synthetic outsole, has a stacked heelWarranty: 3 monthsWarranty provided by the brand owner / manufacturer"
GAP Men's 1969 Logo Short Sleeve Crewneck T-Shirt,Soft cotton jerseyShort sleevesRib-knit trim at crewneckScreen-printed gradient 1969 graphic at chest
Van Heusen Sport Men Navy Blue Solid Polo Collar T-shirt,"Navy Blue solid T-shirt, has a polo collar, and short sleeves"
W Women Pink & Maroon Printed A-Line Dress,"Pink and Maroon printed knitted and woven A-line dress with tie-up and gathered detail, has a mandarin collar, three-quarter sleeves, and flared hem"
Miss Chase Women Blue Skinny Fit High-Rise Clean Look Stretchable Jeans,"Blue light wash 5-pocket high-rise jeans, clean look, no fade, has a button fly closure, and waistband with belt loops"
People Men Olive Green Solid Henley Neck T-shirt,"Olive green solid T-shirt, has a Henley neck, and short sleeves"
Madame Women Off-White Solid Sweater,"Off-white solid sweater, has a round neck, long sleeves with beaded detail, ribbed hem"
GAP Men's Slub Plaid Flannel Shirt in Standard Fit,"Smooth, airy, perfectly textured, slub twill weaveGAP Men's Slub Plaid Flannel Shirt in Standard FitLong sleeves, button cuffsSpread collar, button frontButton flap-patch pocket at chestCurved hemAssorted allover yarn-dyed plaid patterns"
Lady Stark Women Black Printed Shirt Style Top,"Black printed woven shirt style  top, has a shirt collar, short sleeves, and button closure"
Mufti Men Turquoise Blue Regular Fit Solid Casual Shirt,"Turquoise Blue solid casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Louis Philippe Jeans Men Blue Slim Fit Faded Casual Shirt,"Blue faded casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Cortina Purple & White Set of 2 Long Door Curtains,Set content: 2 Long Door curtainsColour: Purple and WhitePattern: Floral Long DoorLight blocking: RegularFitting: EyeletLining: No
C9 AIRWEAR Women Pack of 3 Assorted Bikni Briefs,"Pack of three assorted mid-rise bikini briefs, each with an elasticated waistbandDisclaimer: The final product delivered might vary in colour and prints from the display here"
Bohemia Crystal Set of 6 Eliezabeth Purple+Pantograph Wine Glasses 350ml,Set content: 6 Wine GlassesColour: TransparentPattern: SolidCapacity: 350 ml
GAP Men's Legendary Logo Graphic Pocket T-Shirt,Soft cotton jerseyShort sleevesRib-knit trim at crewneckPatch pocket at chestScreen-printed legendary original logo graphics at chest and back
Parx Men Khaki Original Slim Fit Solid Chinos,"Khaki solid low-rise trousers, zip closure, and 4 pockets"
AURELIA Women Blue & Silver Printed Crop Top with Palazzos & Ethnic Jacket,"This clothing set consists of top with palazzos and ethnic jacketBlue and silver printed crop top, has a round neck, sleeveless, concealed zip closureBlue and silver printed palazzos, has a partially elasticated waistbandBlue and silver printed longline ethnic jacket, has three-quarter sleeves"
W Women Mustard Yellow & Silver Printed A-Line Kurta,"Mustard yellow and silver printed A-line kurta, has a mandarin collar, concealed hook-and-eye closures, long sleeves, and flared hem"
Cortina Purple Set of 2 Window Curtains,Set content: 2 Window curtainsColour: PurplePattern: Floral WindowLight blocking: RegularFitting: EyeletLining: No
Franco Leone Men Brown Sandals,A pair of brown comfort sandalsSynthetic upper with slip-on closureCushioned footbedPatterned rubber outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer
EthnoVogue Women Sea Green & Peach-Coloured Embroidered Kurti with Palazzos & Dupatta,"Sea Green and peach-coloured embroidered kurta with palazzosSea Green and peach-coloured straight above knee art silk kurta, has a round neck, long sleeves, straight hem, side slitsPeach-coloured solid satin palazzos, drawstring closureGolden and peach-coloured net DupattaWhat is Made to Measure?Customised Lehenga Choli according to your Bust and Length. So please refer to the Size Chart to pick your perfect size.How to measure bust?Measure under your arms and around your chest to find your bust size in inchesHow to measure Lehenga length?Measure from waist till barefoot to find lehenga length in inches"
Ahalyaa Women Grey & Silver Printed A-Line Kurta,"Grey and silver printed A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem, and front slit"
MISH Women Multicoloured Candy Striped A-Line Dress,"Multicoloured striped woven A-line dress, has a round neck, short sleeves, and flared hemComes with a belt"
W Women Navy Blue & Golden Printed Flared Palazzos,"A pair of navy blue and Golden printed woven flared fit Palazzos, opaque, and slip-on closure"
SOLES Women Gold-Toned Textured Embellished Heels,"A pair of gold-toned open toe embellished heels, has regular styling, open back detailSynthetic upperCushioned footbedTextured and patterned outsole, has a block heel"
Monrow Women Blue & Black Colourblocked One Toe Flats,Blue & Black Colourblocked One Toe FlatsSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 6 monthsWarranty provided by brand/manufacturer
Naari Women White & Pink Embroidered Straight Kurta,"White and pink embroidered straight kurta, has a round neck, three-quarter sleeves, straight hem, and side slits"
W Women Charcoal Grey & Golden Woven Design Straight Kurta,"Grey and Golden woven design straight kurta, has a keyhole neck with button closure, three-quarter sleeves, straight hem, and side slits"
Van Heusen Men Blue Tight Slim Fit Printed Formal Shirt,"Blue printed formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
HERE&NOW Women Navy Blue & Green Woven Design A-Line Kurta,"Navy blue and green embroidered A-line kurta, has a mandarin collar, three-quarter sleeves, flared hem, button closures, and front slit"
W Women Orange Self Design Maxi Dress,"Orange self-design woven maxi dress, has a mandarin collar, three-quarter sleeves, flared hem"
Indo Era Women Teal Blue & Beige Solid A-Line Kurta with Trousers & Dupatta,"Teal blue and beige solid kurta with trousers and dupatta Teal blue solid A-line calf length kurta with printed detail, has a mandarin collar, long sleeves, straight hemTeal blue solid trousers, has partially elasticated waistband with slip-on detailBeige, blue and green printed dupatta, has a solid border"
Kazo Women Black Bodycon Dress,"Black solid knitted bodycon %S, has  shoulder straps, sleeveless, concealed zip closure, and straight hem"
W Women Teal Blue Solid Pure Cotton Dupatta,Teal blue solid Dupatta and has printed border
W Women Off-White Solid Straight Kurta,"Off-White solid straight kurta with waist tie-up, has a round neck, three-quarter sleeves, curved hem,  side slits, button closure"
NIZA Women Navy Blue Solid Shift Dress,"Navy Blue solid woven A-line dress with embroidered detail, has a mandarin collar, long sleeves, an attached lining, and flared hem"
Van Heusen Woman White Solid Top,"White solid knitted regular top, has a round neck, ribbed hem, and long sleeves"
Kazo Women Beige Sheath Dress,"Beige solid woven sheath %S, has  shoulder straps, short sleeves, concealed zip closure, and flounce hem"
Lady Stark Women Blue Solid Tiered Top,"Blue solid woven tiered  top, has a round neck, sleeveless, and button closure"
Sera Women Yellow Fit and Flare Dress,"Yellow solid woven fit and flare dress, has a mock neck, sleeveless, button closure, and flared hem"
Franco Leone Men Brown Leather Sandals,A pair of brown comfort sandalsLeather upper with slip-on closureCushioned footbedPatterned rubber outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer
Wish Karo Girls Pink & Cream-Coloured Floral Printed Fit and Flare Dress,"Pink and cream-coloured floral printed woven fit and flare %S, has a round neck, sleeveless, zip closure, an attached lining, and flared hem"
W Women Off-White & Grey Printed Straight Kurta,"Off-white, grey and maroon printed straight kurta, has a mandarin collar with button closures, three-quarter sleeves, straight hem, and side slits"
Jompers Men Sea Green Solid Straight Kurta,"Sea Green solid straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
Yuuki Men Black & Grey Mesh Training or Gym Shoes,"A pair of black training or gym sports shoes, has regular styling, lace-up detailMesh upperCushioned footbedTextured and patterned outsoleWarranty: 30 daysWarranty provided by brand/manufacturer"
W Women Mustard Yellow Embellished Straight Sustainable Kurta,"Mustard yellow embellished straight kurta, has a key hole neck, three-quarter sleeves, straight hem and side slits"
Saint G Women Black Solid  Leather Heeled Boots,"A pair of black round toe heeled boots, has regular styling, closed back detail, has western embellished detailLeather upperCushioned footbedTextured and patterned outsole, has a block heelWarranty: 1 monthWarranty provided by brand/manufacturer"
Blacksmith Men Green Printed Woven Pocket Square,"Green printed woven pocket square, has a stitched border."
Parx Men Black Printed Round Neck T-shirt,"Black printed T-shirt, has a round neck, and short sleeves"
EthnoVogue Women White & Beige Made to Measure Lehenga & Blouse,"White and beige printed lehenga choliWhite and beige printed blouse, has shoulder straps.White printed made to measure lehenga, flared hemWhat is Made to Measure?Customised [Article Type] according to your Bust and Length. So please refer to the Size Chart to pick your perfect size.How to measure Lehenga length?Measure from waist till barefoot to find lehenga length in inchesHow to measure bust?Measure under your arms and around your chest to find your bust size in inches"
CLAY CRAFT Set of 2 Salt & Pepper Shakers,Colour: Black ans whitePattern: SolidSuitable for: MultipurposeType: Salt and pepper shakersFeatures: Dishwash and microwave safe
Zink London Women Blue Dyed High-Low Top,"Blue dyed woven high-low  top, has a shirt collar, sleeveless, and button closure"
W Women Navy Blue & Pink Striped Straight Kurta,"Navy Blue and pink striped straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits, hook-and-eye closures"
Jompers Men Purple Floral Woven Design Dupion Silk Straight Kurta,"Purple floral woven design straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
Cortina Set of 2 Window Curtains,Set content: 2 Window curtainsColour: BrownPattern: Floral WindowLight blocking: RegularFitting: Eyelet
U.S. Polo Assn. Denim Co. Men Mustard Yellow & Navy Blue Checked Casual Shirt,"Mustard yellow and navy blue checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
MISH Women Burgundy Solid Satin Finish Blouson Top,"Burgundy solid woven blouson top with satin finish, has a round neck, and sleeveless, tie-up detail"
W Women Blue Hem Design Straight Palazzos,"A pair of blue hem design woven straight fit palazzos, and has a drawstring closure"
Louis Philippe Men Beige Tight Slim Fit Self Design Formal Shirt,"Beige self-design formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
Mufti Men Navy Blue Regular Fit Solid Casual Shirt,"Navy Blue solid casual shirt, has a mandarin collar, short sleeves, button placket, curved hem, and 1 patch pocket"
SOJANYA Men Blue Printed Straight Silk Blend Kurta,"Blue printed straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
Z-ZOOM Women Round Sunglasses 55132,Lens colour: BrownLens feature: Regular LensFrame material: MetalFrame style: Full RimBest suited for: Oval face shapeComes in a Z-ZOOM coverWarranty: 2 yearsWarranty provided by brand/manufacturer
GAP Men's Modern Khakis in Skinny Fit with GapFlex,"Everyday performance meets all day comfort. Win winSmooth, stain-resistant twill weave with GapFlex stretch technologySpecial stretch waistband for added comfortButton closure, zip flyFront slant pockets, rear button-welt pockets"
Jompers Men Gold-Coloured & Brown Printed Straight Kurta,"Gold-coloured and brown printed straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
CALFNERO Men Black Solid Two Fold Leather Wallet,"Black solid two fold wallet2 main compartments 8 card holders, 2 slip pockets, has a"
W Women Navy & Golden Printed Straight Kurta,"Navy and golden printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, and side slits"
Van Heusen Woman Green Solid Top,"Green solid woven regular  top, has a mandarin collar, sleeveless, and button closure"
Global Desi Women Navy Blue Yoke Design A-Line Kurta,"Navy blue yoke design A-line kurta, has a round neck, three-quarter sleeves, and asymmetric hem"
Bohemia Crystal Set of 6 Pantograph Cocktail Glasses,Set content: 6 cocktail glassesColour: Blue and TransparentPattern: SolidMaterial: GlassCapacity: 350 ml each
Parx Men Violet Austin Super Slim Fit Solid Regular Trousers,"Violet solid mid-rise trousers, button closure, has a zip and 4 pockets"
Forever New Women White & Black Printed Open Front Shrug,"White printed open front longline shrug, has long sleeves, straight hem"
Jompers Men Silver-Coloured Woven Design Straight Kurta,"Silver-coloured woven design straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
W Women Off-White Hem Design Straight Palazzos,"A pair of off-white hem design woven straight fit Palazzos with sequinned detail, opaque, has a partially elasticated waistband with drawstring closure"
Cortina Brown Set of 2 Window Curtains,Set content: 2 Window curtainsColour: BrownPattern: Floral WindowLight blocking: RegularFitting: EyeletLining: No
Louis Philippe Men Grey Tight Slim Fit Checked Formal Shirt,"Grey checked formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
Parx Men Charcoal Grey Striped Polo Collar T-shirt,"Charcoal grey striped T-shirt, has a polo collar, and short sleeves"
EthnoVogue Beige & Peach-Coloured Embroidered Made To Measure Kurta with Churidar,"Beige and peach-coloured embroidered kurta with churidarBeige and peach-coloured embroidered and embellished A-line floor length kurta, has a round neck, short sleeves, flared hem, high front slit, concealed zip closurePeach-coloured solid churidar, has a waistband with zip closureWhat is Made to Measure?Customised Kurta Set according to your Bust and Length. So please refer to the Size Chart to pick your perfect size.How to measure bust?Measure under your arms and around your chest to find your bust size in inchesHow to measure Kurta length?Measure from shoulder till barefoot to find kurta length in inches"
Parx Men Blue & Purple Slim Fit Checked Casual Shirt,"Blue and Purple checked casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
U.S. Polo Assn. Men White & Blue Tailored Fit Printed Casual Shirt,"White, blue and red printed casual shirt, has a button-down collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Louis Philippe Sport Men Blue Tight Slim Fit Solid Casual Shirt,"Blue solid casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
The House of Tara Women Green Printed Backpack,"Green printed backpack, has a flap across the mouth secured with a stylised lobster claspOne haul loop on the back, has two contrast and adjustable shoulder strapsOne main compartment with a drawstring fastening and beaded detail, has an inner slip pocket and a zip pocketTwo flap pockets on the front"
Louis Philippe Sport Men White Tight Slim Fit Solid Casual Shirt,"White solid casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Global Desi Women Off-White & Black Printed Straight Kurta,"Off-White and Black printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, and side slits"
Louis Philippe Men Beige Tight Slim Fit Self Design Formal Shirt,"Beige self-design formal shirt, has a spread collar, long sleeves, button placket, straight hem, and 1 patch pocket"
W Women Black & Golden Woven Design Straight Kurta,"Black and Golden woven design straight kurta, has a round neck, three-quarter sleeves, curved hem, and side slits"
SOJANYA Men Green Woven Design Straight Kurta,"Green woven design straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
Kids Ville Barbie featured White  Dress for Girls,"White and Purple printed woven fit and flare %S, has a round neck, short sleeves, and flared hem"
Bohemia Crystal Set of 6 Siesta Blue Base Whiskey Glasses 400ml,Set content: 6 whisky glasses Colour: Transparent Capacity: 400 ml
CALFNERO Men Black Solid Two Fold Genuine Leather Wallet,"Black solid two fold wallet2 main compartments 5 card holders, 1 slip pocket"
C9 AIRWEAR Women Pack of 3 Assorted Brief,"Pack of 3 assorted mid-rise hipster briefs,inner elasticated waistbandDisclaimer: The final product delivered might vary in colour from the display here"
W Women Pink & Golden Printed Straight Sustainable Kurta,"Pink and golden printed straight kurta with sequinned detail, has a keyhole neck, three-quarter sleeves, straight hem, side slits"
C9 AIRWEAR Women Pack Of 3 Assorted Bikini Briefs P1118_Assort2,"Pack of 3 mid-rise assorted bikini briefs, each has an elasticated waistband and double layered gusset"
W Women Navy Blue & Off-White Printed Straight Kurta,"Navy blue and off-white printed straight kurta with threadwork and striped detail, has a round neck, three-quarter sleeves, straight hem, button closure at the back, and side slits"
AccessHer Women Set of 2 Gold-Plated Bangles,"Set of two gold-plated bangles, each has a textured detailing"
Cortina Orange Set of 2 Window Curtains,Set content: 2 Window curtainsColour: OrangePattern: Floral WindowLight blocking: Room DarkeningFitting: EyeletLining: No
Jompers Men Blue Printed Straight Kurta,"Blue printed straight kurta, has a mandarin collar, long sleeves, straight hem, and side slits"
Van Heusen Woman Black & White Houndstooth Patterned Pumps,"A pair of black and white pointed toe houndtooth patterned pumps, has regular styling, closed back detailTextile upperCushioned footbedTextured and patterned outsole, has a slim heelWarranty: 6 monthsWarranty provided by brand/manufacturer"
W Women Brown Solid Churidar Length Leggings,"Brown solid churidar length leggings, has an elasticated waistband with inner drawstring closure"
Chumbak Teal Green Cat Lady Printed iPhone 8 and SE Case,Teal green cat lady printed mobile caseSuitable for iPhone 8 and SE
U.S. Polo Assn. Denim Co. Men Green Printed Round Neck T-shirt,"Green printed T-shirt, has a round neck, and short sleeves"
W Women Blue Yoke Design A-Line Kurta,"Blue yoke design A-line kurta with sequinned detail and thread work, has a keyhole neck, three-quarter sleeves, flared hem"
W Women Aubergine Solid Ankle-Length Leggings,"Aubergine solid ankle-length leggings, has an elasticated waistband"
W Women Brown Solid Straight Kurta,"Brown solid straight kurta, has a round neck, three-quarter sleeves, straight hem, and side slits"
LA LOFT Men Charcoal Grey Regular Fit Printed Casual Shirt,"Charcoal grey printed casual shirt, has a spread collar, long sleeves, button placket, curved hem"
Clay Craft Set Of 2 Solid Ceramic Flower Vases,Set Content: 2 flower vasesColour: WhitePattern: SolidMaterial: Ceramic
Franco Leone Men Blue Derbys,"A pair of round-toe blue derbys, has regular styling, lace-up detailSynthetic Leather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
AccessHer Gold-Plated & Blue CZ Stone Studded Jewellery Set,"This jewellery set consists of a necklace and earrings Gold-plated and blue CZ stone-studded necklace, secured with a lobster closureA pair of matching drop earrings, secured with a post and back closure"
GAP Men Burgundy Slim Fit Solid Chinos,"Burgundy solid mid-rise trousers, button closure, and 4 pockets"
Bamboo Tree Jewels Gold-Toned & Green Classic Drop Earrings,Gold-toned and green handcrafted classic earringsSecured with a post and back closure
Van Heusen Woman Maroon Solid Block Heels,"A pair of maroon open toe heels, has regular styling, backstrap detailSynthetic upper with bucklesCushioned footbedTextured and patterned outsole, has a block heel"
Oxolloxo Women White & Blue Regular Fit Printed Casual Shirt,"White and Blue printed casual shirt, has a spread collar, long sleeves, button placket, and curved hem"
Oxolloxo Women Off-White Solid Top,"Off-White solid woven regular  top, has a round neck, and three-quarter sleeves"
